QUARTER,MONTH,DAY_OF_WEEK,DEP_DEL15,ARR_DEL15
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,1.0
2,6,5,1.0,1.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,7,1.0,1.0
2,6,7,1.0,1.0
2,6,7,1.0,1.0
2,6,7,1.0,1.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,1.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,2,1.0,1.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,1.0,1.0
2,6,2,1.0,1.0
2,6,2,1.0,1.0
2,6,2,0.0,0.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,1.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,1.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,1.0
2,6,6,1.0,1.0
2,6,6,1.0,0.0
2,6,6,0.0,1.0
2,6,7,1.0,1.0
2,6,7,0.0,0.0
2,6,7,1.0,1.0
2,6,7,1.0,1.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,1,,
2,6,1,1.0,1.0
2,6,1,1.0,1.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,2,0.0,0.0
2,6,2,1.0,1.0
2,6,2,1.0,1.0
2,6,2,1.0,0.0
2,6,2,0.0,0.0
2,6,2,1.0,1.0
2,6,2,0.0,0.0
2,6,3,0.0,0.0
2,6,3,1.0,1.0
2,6,3,1.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,5,0.0,0.0
2,6,5,1.0,0.0
2,6,5,1.0,1.0
2,6,5,0.0,1.0
2,6,5,1.0,1.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,1.0,0.0
2,6,6,1.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,1.0
2,6,7,0.0,0.0
2,6,6,1.0,1.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,1.0,1.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,1.0,1.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,1.0,0.0
2,6,3,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,1,1.0,1.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,1.0
2,6,7,0.0,0.0
2,6,7,1.0,1.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,1.0,1.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,1.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,1.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,5,1.0,1.0
2,6,5,0.0,0.0
2,6,5,1.0,1.0
2,6,3,0.0,0.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,3,1.0,1.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,,
2,6,2,1.0,1.0
2,6,2,0.0,1.0
2,6,2,1.0,1.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,,
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,5,1.0,1.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,1.0,1.0
2,6,5,1.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,1.0
2,6,6,1.0,0.0
2,6,6,0.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,1.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,1.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,1.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,7,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,1.0,1.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,1,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,1.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,1.0,1.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,1.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,2,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,1.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,3,1.0,1.0
2,6,3,1.0,1.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,3,1.0,0.0
2,6,3,0.0,0.0
2,6,3,1.0,1.0
2,6,3,0.0,0.0
2,6,3,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,1.0,1.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,,
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,1.0
2,6,5,,
2,6,5,1.0,1.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,5,1.0,0.0
2,6,5,1.0,1.0
2,6,5,1.0,1.0
2,6,5,1.0,1.0
2,6,5,0.0,0.0
2,6,5,1.0,0.0
2,6,5,1.0,0.0
2,6,5,0.0,0.0
2,6,5,1.0,1.0
2,6,5,0.0,0.0
2,6,5,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,6,0.0,0.0
2,6,6,1.0,0.0
2,6,6,0.0,0.0
2,6,6,1.0,1.0
2,6,6,0.0,0.0
2,6,3,0.0,0.0
2,6,4,0.0,0.0
2,6,4,1.0,1.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
2,6,4,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,1.0
3,7,7,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,1.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,3,0.0,0.0
3,7,3,1.0,1.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,1.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,5,0.0,0.0
3,7,5,,
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,,
3,7,6,0.0,0.0
3,7,6,0.0,1.0
3,7,6,1.0,1.0
3,7,6,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,2,0.0,0.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,1.0
3,7,2,1.0,
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,1.0
3,7,1,1.0,1.0
3,7,1,1.0,1.0
3,7,2,,
3,7,2,0.0,1.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,1.0,1.0
3,7,4,0.0,1.0
3,7,5,0.0,0.0
3,7,5,1.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,0.0,1.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,2,0.0,0.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,1.0
3,7,2,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,1.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,3,0.0,0.0
3,7,3,1.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,1.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,,
3,7,3,,
3,7,4,0.0,0.0
3,7,4,1.0,1.0
3,7,4,1.0,1.0
3,7,4,1.0,1.0
3,7,4,0.0,0.0
3,7,4,1.0,1.0
3,7,4,1.0,1.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,6,1.0,1.0
3,7,6,1.0,1.0
3,7,6,1.0,0.0
3,7,6,0.0,0.0
3,7,6,1.0,0.0
3,7,6,1.0,1.0
3,7,6,1.0,1.0
3,7,6,1.0,1.0
3,7,6,0.0,0.0
3,7,7,1.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,,
3,7,2,1.0,0.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,2,1.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,1.0
3,7,3,1.0,1.0
3,7,3,1.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,1.0,1.0
3,7,3,1.0,1.0
3,7,3,1.0,1.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,1.0,0.0
3,7,4,0.0,0.0
3,7,4,1.0,1.0
3,7,4,1.0,0.0
3,7,4,1.0,1.0
3,7,4,1.0,1.0
3,7,4,0.0,0.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,5,0.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,6,1.0,0.0
3,7,6,0.0,1.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,1.0,1.0
3,7,6,0.0,1.0
3,7,6,1.0,1.0
3,7,6,0.0,0.0
3,7,6,1.0,1.0
3,7,6,1.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,1.0,1.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,1.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,2,1.0,0.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,1.0
3,7,3,1.0,1.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,1.0,1.0
3,7,4,1.0,1.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,1.0,1.0
3,7,4,1.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,1.0
3,7,5,1.0,1.0
3,7,5,1.0,1.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,0.0,1.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,0.0,0.0
3,7,6,1.0,1.0
3,7,6,0.0,0.0
3,7,6,,
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,1.0,1.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,1.0,1.0
3,7,1,1.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,1.0
3,7,1,0.0,0.0
3,7,1,1.0,0.0
3,7,1,1.0,0.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,2,0.0,0.0
3,7,2,1.0,0.0
3,7,2,0.0,0.0
3,7,2,1.0,0.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,3,1.0,1.0
3,7,3,1.0,1.0
3,7,3,1.0,1.0
3,7,3,0.0,0.0
3,7,3,1.0,1.0
3,7,3,,
3,7,3,1.0,1.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,3,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,1.0,1.0
3,7,4,1.0,1.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,0.0,0.0
3,7,4,,
3,7,5,1.0,1.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,1.0,1.0
3,7,5,1.0,0.0
3,7,5,0.0,0.0
3,7,5,,
3,7,6,1.0,1.0
3,7,6,1.0,1.0
3,7,6,1.0,1.0
3,7,6,0.0,0.0
3,7,6,0.0,1.0
3,7,6,1.0,1.0
3,7,6,1.0,1.0
3,7,6,0.0,0.0
3,7,6,1.0,1.0
3,7,6,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,1.0,1.0
3,7,7,1.0,1.0
3,7,7,0.0,0.0
3,7,1,0.0,1.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,0.0
3,7,1,0.0,1.0
3,7,1,1.0,1.0
3,7,1,1.0,1.0
3,7,1,1.0,0.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,0.0,0.0
3,7,2,1.0,1.0
3,7,2,1.0,1.0
3,7,2,,
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,7,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
3,7,5,0.0,0.0
